"","Year","iso","cp"
"560",1992,703,41
"561",1992,344,NA
"562",1993,188,65
"563",1993,276,65.47017036
"564",1993,348,71.30290893
"565",1992,364,44.6
"566",1992,392,57
"567",1992,702,52
"568",1992,740,46.6
"569",1993,203,44.9
"570",1994,388,58.29794131
"571",1993,528,75.60408163
"572",1993,586,17.6
"573",1994,144,43.6
"574",1994,764,72.2
"575",1994,826,82
"576",1994,233,43.94953815
"577",1994,250,69.3
"578",1995,626,20.7
"579",1994,392,52.8
"580",1994,414,47.4
"581",1995,440,33.15158124
"582",1994,458,30.4
"583",1995,586,12.6
"584",1994,410,NA
"585",1995,705,63.18138487
"586",1995,756,77.54679214
"587",1996,36,63.7652
"588",1996,40,46.8325548
"589",1996,112,42.1
"590",1996,100,45.6
"591",1996,116,6.9
"592",1995,124,73.289476
"593",1996,380,40.48145075
"594",1996,428,55.58698727
"595",1996,554,72.3
"596",1996,630,67.6
"597",1995,724,67.5
"598",1996,840,NA
"599",1996,184,60.4
"600",1996,392,50.6
"601",1996,275,30.7
"602",1996,752,64.8
"603",1997,764,69.8
"604",1998,100,39.6
"605",1997,156,83.3
"606",1998,203,62.8
"607",1998,408,55.8
"608",1998,626,25.1
"609",1998,364,56
"610",1998,388,62.66923408
"611",1998,392,NA
"612",1998,410,NA
"613",1998,638,63.46
"614",1998,702,55
"615",1998,392,48
"616",1998,826,77
"617",2000,188,71
"618",1999,300,33.6
"619",2000,414,39.3
"620",2000,462,33
"621",2000,724,66.42935
"622",2000,826,69
"623",2000,894,NA
"624",2001,4,3.6
"625",2001,70,16.22516556
"626",2001,192,72.1
"627",2000,250,74.55
"628",2000,356,42.3
"629",2000,392,48.3
"630",2001,498,43.70653872
"631",2001,688,33
"632",2000,144,49.5
"633",2000,768,12.61236819
"634",2000,788,57.7
"635",2001,826,75
"636",2002,32,63.8
"637",2002,152,58.20575433
"638",2002,156,86.2
"639",2002,826,77
"640",2002,36,70.8
"641",2002,108,8.484
"642",2002,124,72
"643",2002,408,58.2
"644",2003,388,66.1
"645",2002,426,34.7
"646",2002,480,38.6
"647",2002,748,38.6
"648",2003,826,79
"649",2002,840,64.43427147
"650",2004,484,69.3
"651",2004,524,37.917
"652",2004,826,78
"653",2004,392,44.4
"654",2004,462,34
"655",2004,642,38.2
"656",2005,826,76
"657",2004,834,23.4
"658",2004,858,74.8
"659",2006,132,57.1
"660",2006,620,NA
"661",2006,826,74
"662",2006,484,66.5
"663",2007,558,69.80055923
"664",2007,826,NA
"665",2008,72,51.2
"666",2007,76,77.1
"667",2007,90,27.4
"668",2008,826,NA
"669",2006,152,64.2
"670",1970,191,7
"671",1998,231,2.8
"672",1974,242,35
"673",2000,246,72.84768212
"674",1978,250,47.6
"675",2000,296,NA
"676",1984,300,31.6
"677",1976,312,21.1
"678",2002,316,58.3
"679",2009,320,44
"680",1975,328,23.4
"681",1998,344,NA
"682",2002,344,NA
"683",1972,348,40
"684",1977,348,52.2
"685",1994,360,51.2
"686",2006,360,57.5
"687",1994,364,51.1
"688",1996,364,56.1
"689",1998,372,67.6
"690",2002,372,66
"691",2005,372,61.4
"692",2009,388,56.2
"693",2006,392,44.4
"694",2000,410,NA
"695",2004,410,NA
"696",2006,410,NA
"697",1983,422,30.7
"698",1983,422,30.7
"699",2000,450,12.9
"700",2005,458,32.3
"701",1994,470,46
"702",1976,474,27.3
"703",1970,499,7
"704",2008,520,25.1
"705",2000,524,37.1
"706",1975,528,69.1
"707",1998,528,NA
"708",2003,528,NA
"709",1984,548,20.8
"710",1996,548,21.3
"711",1994,566,9.7
"712",1970,580,16
"713",1970,584,18.1
"714",1985,584,19.4
"715",2007,584,42.4
"716",2004,585,29.7
"717",2004,586,25.2
"718",2007,598,24.3
"719",1996,608,25.4
"720",1996,608,30.2
"721",1998,608,30.9
"722",2000,608,32.4
"723",2000,608,32.1
"724",2002,608,33.1
"725",2002,608,35.1
"726",2004,608,35.1
"727",2006,608,36
"728",2006,608,35.9
"729",1980,620,37.71
"730",2002,630,72.2
"731",2004,660,NA
"732",2007,682,NA
"733",1970,688,3.7
"734",1970,705,14.2
"735",2006,724,62.2
"736",1970,764,NA
"737",2008,798,22.4
"738",2002,850,72.6
"739",1994,862,54.5
"740",2010,882,26.7
"741",2006,4,12.5
"742",2007,4,17.5
"743",2001,368,25.40303211
"744",2001,804,NA
"745",2001,499,30.7
"746",2007,64,NA
"747",2008,4,15.2
"748",2009,8,10.62799053
"749",2008,68,34.56356995
"750",2012,204,7.895987111
"751",2011,854,15.01640497
"752",1990,332,9.4
"753",2002,360,NA
"754",2004,360,NA
"755",2004,360,NA
"756",2008,434,20.4
"757",2000,512,24.6
"758",1969,586,NA
"759",2009,600,70.7
"760",1997,620,70.4
"761",1980,410,43.1
"762",1992,694,2.4
"763",2008,694,6.74462307
"764",2007,144,52.5
"765",2008,496,49.6
"766",2007,704,68.17384696
"767",2008,704,68.7315163
"768",2006,418,35
"769",2006,586,18.4
"770",1973,764,25.7
"771",1979,764,49.3
"772",1972,344,43.3
"773",2008,818,57.60405305
"774",2011,120,14.41850567
"775",2012,384,12.47328742
"776",2009,288,16.57341343
"777",2009,404,39.44455538
"778",2009,450,29.13449521
"779",2011,454,42.23590994
"780",2009,566,9.681963847
"781",2010,834,27.37402073
"782",2010,400,42.03113143
"783",2009,462,26.97494917
